,gene_type,gene_name,gencode_transcript,ensembl_transcript,ensembl_gene,gencode_gene,splice_type,biomark_neural_panel,confident_rbp,rbp,ribosomal,ribosomal_subunit,synapse,transcription_factor,one_ensembl_id
chr22:18165980:18166087:+@chr22:18171752:18171908:+@chr22:18185009:18185152:+@chr22:18209443:18213621:+,protein_coding,BCL2L13,"ENST00000399782.1,ENST00000355028.3,ENST00000493680.1,ENST00000464649.1,ENST00000498133.1,ENST00000337612.5,ENST00000485631.1,ENST00000399781.1,ENST00000317582.5,ENST00000538149.1,ENST00000418951.2,ENST00000543133.1,ENST00000399777.1","ENST00000317582,ENST00000543133,ENST00000485631,ENST00000418951,ENST00000355028,ENST00000464649,ENST00000399777,ENST00000337612,ENST00000399782,ENST00000399781,ENST00000493680,ENST00000538149,ENST00000498133",ENSG00000099968,ENSG00000099968.13,MXE,False,False,False,False,False,False,False,ENSG00000099968
chr22:18165980:18166087:+@chr22:18171752:18171908:+@chr22:18209443:18213621:+,protein_coding,BCL2L13,"ENST00000399782.1,ENST00000355028.3,ENST00000493680.1,ENST00000464649.1,ENST00000498133.1,ENST00000337612.5,ENST00000485631.1,ENST00000399781.1,ENST00000317582.5,ENST00000538149.1,ENST00000418951.2,ENST00000543133.1,ENST00000399777.1","ENST00000317582,ENST00000543133,ENST00000485631,ENST00000418951,ENST00000355028,ENST00000464649,ENST00000399777,ENST00000337612,ENST00000399782,ENST00000399781,ENST00000493680,ENST00000538149,ENST00000498133",ENSG00000099968,ENSG00000099968.13,SE,False,False,False,False,False,False,False,ENSG00000099968
chr22:18165980:18166087:+@chr22:18178907:18178976:+@chr22:18185009:18185152:+,protein_coding,BCL2L13,"ENST00000399782.1,ENST00000355028.3,ENST00000493680.1,ENST00000464649.1,ENST00000498133.1,ENST00000337612.5,ENST00000399781.1,ENST00000317582.5,ENST00000538149.1,ENST00000418951.2,ENST00000543133.1,ENST00000399777.1","ENST00000317582,ENST00000543133,ENST00000418951,ENST00000355028,ENST00000464649,ENST00000399777,ENST00000337612,ENST00000399782,ENST00000399781,ENST00000493680,ENST00000538149,ENST00000498133",ENSG00000099968,ENSG00000099968.13,SE,False,False,False,False,False,False,False,ENSG00000099968
chr22:18165980:18166087:+@chr22:18178907:18178976:+@chr22:18185009:18185152:+@chr22:18209443:18213621:+,protein_coding,BCL2L13,"ENST00000399782.1,ENST00000355028.3,ENST00000493680.1,ENST00000464649.1,ENST00000498133.1,ENST00000337612.5,ENST00000485631.1,ENST00000399781.1,ENST00000317582.5,ENST00000538149.1,ENST00000418951.2,ENST00000543133.1,ENST00000399777.1","ENST00000317582,ENST00000543133,ENST00000485631,ENST00000418951,ENST00000355028,ENST00000464649,ENST00000399777,ENST00000337612,ENST00000399782,ENST00000399781,ENST00000493680,ENST00000538149,ENST00000498133",ENSG00000099968,ENSG00000099968.13,MXE,False,False,False,False,False,False,False,ENSG00000099968
chr22:18165980:18166087:+@chr22:18178907:18178976:+@chr22:18209443:18213621:+,protein_coding,BCL2L13,"ENST00000399782.1,ENST00000355028.3,ENST00000493680.1,ENST00000464649.1,ENST00000498133.1,ENST00000337612.5,ENST00000485631.1,ENST00000399781.1,ENST00000317582.5,ENST00000538149.1,ENST00000418951.2,ENST00000543133.1,ENST00000399777.1","ENST00000317582,ENST00000543133,ENST00000485631,ENST00000418951,ENST00000355028,ENST00000464649,ENST00000399777,ENST00000337612,ENST00000399782,ENST00000399781,ENST00000493680,ENST00000538149,ENST00000498133",ENSG00000099968,ENSG00000099968.13,SE,False,False,False,False,False,False,False,ENSG00000099968
chr22:18165980:18166087:+@chr22:18185009:18185152:+@chr22:18209443:18213621:+,protein_coding,BCL2L13,"ENST00000399782.1,ENST00000355028.3,ENST00000493680.1,ENST00000464649.1,ENST00000498133.1,ENST00000337612.5,ENST00000485631.1,ENST00000399781.1,ENST00000317582.5,ENST00000538149.1,ENST00000418951.2,ENST00000543133.1,ENST00000399777.1","ENST00000317582,ENST00000543133,ENST00000485631,ENST00000418951,ENST00000355028,ENST00000464649,ENST00000399777,ENST00000337612,ENST00000399782,ENST00000399781,ENST00000493680,ENST00000538149,ENST00000498133",ENSG00000099968,ENSG00000099968.13,SE,False,False,False,False,False,False,False,ENSG00000099968
chr22:18171752:18171908:+@chr22:18178907:18178976:+@chr22:18185009:18185152:+,protein_coding,BCL2L13,"ENST00000399782.1,ENST00000355028.3,ENST00000493680.1,ENST00000464649.1,ENST00000317582.5,ENST00000337612.5,ENST00000498133.1,ENST00000538149.1,ENST00000418951.2,ENST00000543133.1,ENST00000399777.1","ENST00000317582,ENST00000543133,ENST00000418951,ENST00000355028,ENST00000464649,ENST00000399777,ENST00000337612,ENST00000399782,ENST00000493680,ENST00000538149,ENST00000498133",ENSG00000099968,ENSG00000099968.13,SE,False,False,False,False,False,False,False,ENSG00000099968
chr22:18171752:18171908:+@chr22:18178907:18178976:+@chr22:18185009:18185152:+@chr22:18209443:18213621:+,protein_coding,BCL2L13,"ENST00000399782.1,ENST00000355028.3,ENST00000493680.1,ENST00000464649.1,ENST00000317582.5,ENST00000337612.5,ENST00000485631.1,ENST00000498133.1,ENST00000538149.1,ENST00000418951.2,ENST00000543133.1,ENST00000399777.1","ENST00000317582,ENST00000543133,ENST00000485631,ENST00000418951,ENST00000355028,ENST00000464649,ENST00000399777,ENST00000337612,ENST00000399782,ENST00000493680,ENST00000538149,ENST00000498133",ENSG00000099968,ENSG00000099968.13,MXE,False,False,False,False,False,False,False,ENSG00000099968
chr22:18171752:18171908:+@chr22:18178907:18178976:+@chr22:18209443:18213621:+,protein_coding,BCL2L13,"ENST00000399782.1,ENST00000355028.3,ENST00000493680.1,ENST00000464649.1,ENST00000317582.5,ENST00000337612.5,ENST00000485631.1,ENST00000498133.1,ENST00000538149.1,ENST00000418951.2,ENST00000543133.1,ENST00000399777.1","ENST00000317582,ENST00000543133,ENST00000485631,ENST00000418951,ENST00000355028,ENST00000464649,ENST00000399777,ENST00000337612,ENST00000399782,ENST00000493680,ENST00000538149,ENST00000498133",ENSG00000099968,ENSG00000099968.13,SE,False,False,False,False,False,False,False,ENSG00000099968
chr22:18171752:18171908:+@chr22:18185009:18185152:+@chr22:18209443:18213621:+,protein_coding,BCL2L13,"ENST00000399782.1,ENST00000355028.3,ENST00000498133.1,ENST00000493680.1,ENST00000464649.1,ENST00000317582.5,ENST00000337612.5,ENST00000485631.1,ENST00000399777.1,ENST00000538149.1,ENST00000418951.2,ENST00000543133.1","ENST00000317582,ENST00000543133,ENST00000485631,ENST00000418951,ENST00000355028,ENST00000464649,ENST00000498133,ENST00000337612,ENST00000399782,ENST00000493680,ENST00000538149,ENST00000399777",ENSG00000099968,ENSG00000099968.13,SE,False,False,False,False,False,False,False,ENSG00000099968
chr22:18178907:18178976:+@chr22:18185009:18185152:+@chr22:18209443:18213621:+,protein_coding,BCL2L13,"ENST00000399782.1,ENST00000355028.3,ENST00000493680.1,ENST00000485631.1,ENST00000498133.1,ENST00000337612.5,ENST00000317582.5,ENST00000538149.1,ENST00000418951.2,ENST00000543133.1,ENST00000399777.1","ENST00000317582,ENST00000543133,ENST00000418951,ENST00000355028,ENST00000485631,ENST00000498133,ENST00000337612,ENST00000399782,ENST00000493680,ENST00000538149,ENST00000399777",ENSG00000099968,ENSG00000099968.13,SE,False,False,False,False,False,False,False,ENSG00000099968
chr22:18226569:18226779:-@chr22:18222254|18222942:18222115:-,protein_coding,BID,"ENST00000317361.7,ENST00000494097.1,ENST00000552886.1,ENST00000399765.1,ENST00000550946.1,ENST00000473439.1,ENST00000342111.5,ENST00000399767.1,ENST00000399774.3,ENST00000551952.1","ENST00000551952,ENST00000473439,ENST00000494097,ENST00000317361,ENST00000550946,ENST00000399765,ENST00000552886,ENST00000399767,ENST00000342111,ENST00000399774",ENSG00000015475,ENSG00000015475.14,A3SS,False,False,False,False,False,False,False,ENSG00000015475
chr22:18226569:18226779:-@chr22:18222848:18222942:-@chr22:18222115:18222254:-,protein_coding,BID,"ENST00000317361.7,ENST00000552886.1,ENST00000399765.1,ENST00000550946.1,ENST00000473439.1,ENST00000342111.5,ENST00000399767.1,ENST00000399774.3,ENST00000551952.1","ENST00000551952,ENST00000473439,ENST00000317361,ENST00000550946,ENST00000399765,ENST00000552886,ENST00000399767,ENST00000342111,ENST00000399774",ENSG00000015475,ENSG00000015475.14,SE,False,False,False,False,False,False,False,ENSG00000015475
chr22:18232871:18232940:-@chr22:18226569:18226779:-@chr22:18222115:18222254:-,protein_coding,BID,"ENST00000317361.7,ENST00000552886.1,ENST00000399765.1,ENST00000550946.1,ENST00000473439.1,ENST00000342111.5,ENST00000399767.1,ENST00000399774.3,ENST00000551952.1","ENST00000551952,ENST00000473439,ENST00000317361,ENST00000550946,ENST00000399765,ENST00000552886,ENST00000399767,ENST00000342111,ENST00000399774",ENSG00000015475,ENSG00000015475.14,SE,False,False,False,False,False,False,False,ENSG00000015475
chr22:18256376:18256808:-@chr22:18232871:18232940:-@chr22:18222115:18222254:-,protein_coding,BID,"ENST00000317361.7,ENST00000552886.1,ENST00000399765.1,ENST00000550946.1,ENST00000473439.1,ENST00000342111.5,ENST00000399767.1,ENST00000399774.3,ENST00000551952.1","ENST00000551952,ENST00000473439,ENST00000317361,ENST00000550946,ENST00000399765,ENST00000552886,ENST00000399767,ENST00000342111,ENST00000399774",ENSG00000015475,ENSG00000015475.14,SE,False,False,False,False,False,False,False,ENSG00000015475
chr22:18257147:18257261:-@chr22:18226569:18226779:-@chr22:18222115:18222254:-,protein_coding,BID,"ENST00000317361.7,ENST00000552886.1,ENST00000399765.1,ENST00000550946.1,ENST00000473439.1,ENST00000342111.5,ENST00000399767.1,ENST00000399774.3,ENST00000551952.1","ENST00000551952,ENST00000473439,ENST00000317361,ENST00000550946,ENST00000399765,ENST00000552886,ENST00000399767,ENST00000342111,ENST00000399774",ENSG00000015475,ENSG00000015475.14,SE,False,False,False,False,False,False,False,ENSG00000015475
chr22:18257147:18257261:-@chr22:18232871:18232940:-@chr22:18222115:18222254:-,protein_coding,BID,"ENST00000317361.7,ENST00000399765.1,ENST00000550946.1,ENST00000473439.1,ENST00000342111.5,ENST00000399767.1,ENST00000399774.3,ENST00000551952.1","ENST00000551952,ENST00000473439,ENST00000317361,ENST00000550946,ENST00000399765,ENST00000399767,ENST00000342111,ENST00000399774",ENSG00000015475,ENSG00000015475.14,SE,False,False,False,False,False,False,False,ENSG00000015475
chr22:18257147:18257261:-@chr22:18232871:18232940:-@chr22:18226569:18226779:-,protein_coding,BID,"ENST00000317361.7,ENST00000552886.1,ENST00000550946.1,ENST00000473439.1,ENST00000342111.5,ENST00000399767.1,ENST00000399774.3,ENST00000551952.1","ENST00000551952,ENST00000473439,ENST00000317361,ENST00000550946,ENST00000552886,ENST00000399767,ENST00000342111,ENST00000399774",ENSG00000015475,ENSG00000015475.14,SE,False,False,False,False,False,False,False,ENSG00000015475
chr22:18257147:18257261:-@chr22:18232871:18232940:-@chr22:18226569:18226779:-@chr22:18222115:18222254:-,protein_coding,BID,"ENST00000317361.7,ENST00000552886.1,ENST00000399765.1,ENST00000550946.1,ENST00000473439.1,ENST00000342111.5,ENST00000399767.1,ENST00000399774.3,ENST00000551952.1","ENST00000551952,ENST00000473439,ENST00000317361,ENST00000550946,ENST00000399765,ENST00000552886,ENST00000399767,ENST00000342111,ENST00000399774",ENSG00000015475,ENSG00000015475.14,MXE,False,False,False,False,False,False,False,ENSG00000015475
chr22:18257406:18257431:-@chr22:18232871:18232940:-@chr22:18222115:18222254:-,protein_coding,BID,"ENST00000317361.7,ENST00000399765.1,ENST00000550946.1,ENST00000473439.1,ENST00000342111.5,ENST00000399767.1,ENST00000399774.3,ENST00000551952.1","ENST00000551952,ENST00000473439,ENST00000317361,ENST00000550946,ENST00000399765,ENST00000399767,ENST00000342111,ENST00000399774",ENSG00000015475,ENSG00000015475.14,SE,False,False,False,False,False,False,False,ENSG00000015475
chr22:18314620:18314873:-@chr22:18305713:18305826:-@chr22:18304796:18304936:-,protein_coding,MICAL3,"ENST00000498573.1,ENST00000441493.2,ENST00000578984.1","ENST00000441493,ENST00000498573,ENST00000578984",ENSG00000243156,ENSG00000243156.3,SE,False,False,False,False,False,False,False,ENSG00000243156
chr22:18314620:18314873:-@chr22:18310410:18310547:-@chr22:18305713:18305826:-,protein_coding,MICAL3,"ENST00000498573.1,ENST00000441493.2,ENST00000578984.1","ENST00000441493,ENST00000498573,ENST00000578984",ENSG00000243156,ENSG00000243156.3,SE,False,False,False,False,False,False,False,ENSG00000243156
chr22:18314620:18314873:-@chr22:18310410:18310547:-@chr22:18309220:18309282:-@chr22:18305713:18305826:-,protein_coding,MICAL3,"ENST00000498573.1,ENST00000441493.2,ENST00000578984.1","ENST00000441493,ENST00000498573,ENST00000578984",ENSG00000243156,ENSG00000243156.3,MXE,False,False,False,False,False,False,False,ENSG00000243156
chr22:18359174:18359638:-@chr22:18357977:18358092:-@chr22:18354603:18354789:-,protein_coding,MICAL3,"ENST00000429452.1,ENST00000495076.1,ENST00000441493.2,ENST00000444520.1,ENST00000461307.1,ENST00000498345.1,ENST00000462645.1,ENST00000400561.2,ENST00000383094.3,ENST00000207726.7,ENST00000585038.1,ENST00000414725.2,ENST00000465886.1","ENST00000444520,ENST00000585038,ENST00000207726,ENST00000498345,ENST00000400561,ENST00000414725,ENST00000429452,ENST00000462645,ENST00000383094,ENST00000495076,ENST00000461307,ENST00000465886,ENST00000441493",ENSG00000243156,ENSG00000243156.3,SE,False,False,False,False,False,False,False,ENSG00000243156
chr22:18368644:18368817:-@chr22:18367041:18367124:-@chr22:18354603:18354789:-,protein_coding,MICAL3,"ENST00000429452.1,ENST00000585038.1,ENST00000441493.2,ENST00000444520.1,ENST00000461307.1,ENST00000462645.1,ENST00000400561.2,ENST00000383094.3,ENST00000207726.7,ENST00000495076.1,ENST00000414725.2","ENST00000444520,ENST00000495076,ENST00000207726,ENST00000400561,ENST00000414725,ENST00000429452,ENST00000462645,ENST00000383094,ENST00000585038,ENST00000461307,ENST00000441493",ENSG00000243156,ENSG00000243156.3,SE,False,False,False,False,False,False,False,ENSG00000243156
chr22:18383608:18383763:-@chr22:18382214:18382314:-@chr22:18379490:18379747:-,protein_coding,MICAL3,"ENST00000429452.1,ENST00000585038.1,ENST00000441493.2,ENST00000444520.1,ENST00000400561.2,ENST00000383094.3,ENST00000207726.7,ENST00000495076.1,ENST00000414725.2","ENST00000444520,ENST00000495076,ENST00000207726,ENST00000400561,ENST00000414725,ENST00000429452,ENST00000383094,ENST00000585038,ENST00000441493",ENSG00000243156,ENSG00000243156.3,SE,False,False,False,False,False,False,False,ENSG00000243156
chr22:18477631:18479026:+@chr22:18479027:18479395:+,,,,,,,TANDEMUTR,,,,,,,,
