,biomark_neural_panel,confident_rbp,gencode_id,gene_name,gene_status,gene_type,havana_gene,level,rbp,ribosomal,ribosomal_subunit,synapse,tag,transcript_id,transcript_name,transcript_status,transcript_type,transcription_factor
ENSG00000198062,False,False,ENSG00000198062.10,POTEH,KNOWN,protein_coding,OTTHUMG00000140314.5,1,False,False,False,False,ncRNA_host,ENSG00000198062.10,POTEH,KNOWN,protein_coding,False
ENSG00000236666,False,False,ENSG00000236666.1,POTEH-AS1,NOVEL,antisense,OTTHUMG00000140316.1,2,False,False,False,False,,ENSG00000236666.1,POTEH-AS1,NOVEL,antisense,False
ENSG00000212216,False,False,ENSG00000212216.1,RNU6-816P,KNOWN,snRNA,,3,False,False,False,False,,ENSG00000212216.1,RNU6-816P,KNOWN,snRNA,False
ENSG00000234381,False,False,ENSG00000234381.1,MED15P7,KNOWN,pseudogene,OTTHUMG00000140336.1,2,False,False,False,False,,ENSG00000234381.1,MED15P7,KNOWN,pseudogene,False
ENSG00000224435,False,False,ENSG00000224435.2,NF1P6,KNOWN,pseudogene,OTTHUMG00000140337.1,2,False,False,False,False,,ENSG00000224435.2,NF1P6,KNOWN,pseudogene,False
ENSG00000226474,False,False,ENSG00000226474.1,LA16c-2F2.5,KNOWN,pseudogene,OTTHUMG00000140338.2,2,False,False,False,False,,ENSG00000226474.1,LA16c-2F2.5,KNOWN,pseudogene,False
ENSG00000231565,False,False,ENSG00000231565.1,NEK2P2,KNOWN,pseudogene,OTTHUMG00000140351.1,1,False,False,False,False,pseudo_consens,ENSG00000231565.1,NEK2P2,KNOWN,pseudogene,False
ENSG00000230471,False,False,ENSG00000230471.1,LA16c-2F2.8,NOVEL,lincRNA,OTTHUMG00000140353.1,1,False,False,False,False,,ENSG00000230471.1,LA16c-2F2.8,NOVEL,lincRNA,False
ENSG00000230643,False,False,ENSG00000230643.1,LA16c-60G3.5,KNOWN,pseudogene,OTTHUMG00000140350.1,2,False,False,False,False,,ENSG00000230643.1,LA16c-60G3.5,KNOWN,pseudogene,False
ENSG00000237299,False,False,ENSG00000237299.1,LA16c-60G3.6,KNOWN,pseudogene,OTTHUMG00000140352.2,2,False,False,False,False,,ENSG00000237299.1,LA16c-60G3.6,KNOWN,pseudogene,False
ENSG00000213727,False,False,ENSG00000213727.3,LA16c-60G3.7,KNOWN,pseudogene,OTTHUMG00000140354.1,1,False,False,False,False,pseudo_consens,ENSG00000213727.3,LA16c-60G3.7,KNOWN,pseudogene,False
ENSG00000215268,False,False,ENSG00000215268.3,LA16c-60G3.8,KNOWN,pseudogene,OTTHUMG00000140355.1,1,False,False,False,False,pseudo_consens,ENSG00000215268.3,LA16c-60G3.8,KNOWN,pseudogene,False
ENSG00000233408,False,False,ENSG00000233408.1,LA16c-23H5.4,NOVEL,antisense,OTTHUMG00000030075.2,2,False,False,False,False,,ENSG00000233408.1,LA16c-23H5.4,NOVEL,antisense,False
ENSG00000235759,False,False,ENSG00000235759.1,ARHGAP42P3,KNOWN,pseudogene,OTTHUMG00000140358.3,1,False,False,False,False,pseudo_consens,ENSG00000235759.1,ARHGAP42P3,KNOWN,pseudogene,False
ENSG00000130538,False,False,ENSG00000130538.4,OR11H1,KNOWN,protein_coding,OTTHUMG00000030069.2,2,False,False,False,False,,ENSG00000130538.4,OR11H1,KNOWN,protein_coding,False
ENSG00000236831,False,False,ENSG00000236831.1,YME1L1P1,KNOWN,pseudogene,OTTHUMG00000140356.1,2,False,False,False,False,,ENSG00000236831.1,YME1L1P1,KNOWN,pseudogene,False
ENSG00000265406,False,False,ENSG00000265406.1,AP000539.3,NOVEL,miRNA,,3,False,False,False,False,,ENSG00000265406.1,AP000539.3,NOVEL,miRNA,False
ENSG00000264612,False,False,ENSG00000264612.1,AP000539.1,NOVEL,miRNA,,3,False,False,False,False,,ENSG00000264612.1,AP000539.1,NOVEL,miRNA,False
ENSG00000265270,False,False,ENSG00000265270.1,AP000539.2,NOVEL,miRNA,,3,False,False,False,False,,ENSG00000265270.1,AP000539.2,NOVEL,miRNA,False
ENSG00000236097,False,False,ENSG00000236097.1,BNIP3P2,KNOWN,pseudogene,OTTHUMG00000155642.1,1,False,False,False,False,pseudo_consens,ENSG00000236097.1,BNIP3P2,KNOWN,pseudogene,False
ENSG00000184624,False,False,ENSG00000184624.4,ZNF72P,KNOWN,pseudogene,OTTHUMG00000140359.1,2,False,False,False,False,,ENSG00000184624.4,ZNF72P,KNOWN,pseudogene,False
ENSG00000236235,False,False,ENSG00000236235.1,LA16c-13E4.3,KNOWN,pseudogene,OTTHUMG00000140362.1,1,False,False,False,False,pseudo_consens,ENSG00000236235.1,LA16c-13E4.3,KNOWN,pseudogene,False
ENSG00000225293,False,False,ENSG00000225293.1,ABCD1P4,KNOWN,pseudogene,OTTHUMG00000030330.3,2,False,False,False,False,,ENSG00000225293.1,ABCD1P4,KNOWN,pseudogene,False
ENSG00000226160,False,False,ENSG00000226160.1,LA16c-17H1.3,KNOWN,pseudogene,OTTHUMG00000140366.1,2,False,False,False,False,,ENSG00000226160.1,LA16c-17H1.3,KNOWN,pseudogene,False
ENSG00000229658,False,False,ENSG00000229658.1,PABPC1P9,KNOWN,pseudogene,OTTHUMG00000140367.2,1,False,False,False,False,pseudo_consens,ENSG00000229658.1,PABPC1P9,KNOWN,pseudogene,False
ENSG00000227367,False,False,ENSG00000227367.1,SLC9B1P4,KNOWN,pseudogene,OTTHUMG00000140399.1,2,False,False,False,False,,ENSG00000227367.1,SLC9B1P4,KNOWN,pseudogene,False
ENSG00000226444,False,False,ENSG00000226444.1,ACTR3BP6,KNOWN,pseudogene,OTTHUMG00000140398.1,1,False,False,False,False,pseudo_consens,ENSG00000226444.1,ACTR3BP6,KNOWN,pseudogene,False
ENSG00000235969,False,False,ENSG00000235969.1,CHEK2P4,KNOWN,pseudogene,OTTHUMG00000140400.1,2,False,False,False,False,,ENSG00000235969.1,CHEK2P4,KNOWN,pseudogene,False
ENSG00000273362,False,False,ENSG00000273362.1,KB-67B5.17,NOVEL,lincRNA,OTTHUMG00000186094.1,2,False,False,False,False,,ENSG00000273362.1,KB-67B5.17,NOVEL,lincRNA,False
ENSG00000233995,False,False,ENSG00000233995.1,KB-67B5.12,KNOWN,pseudogene,OTTHUMG00000141256.1,2,False,False,False,False,,ENSG00000233995.1,KB-67B5.12,KNOWN,pseudogene,False
ENSG00000239435,False,False,ENSG00000239435.1,KCNMB3P1,KNOWN,pseudogene,OTTHUMG00000141303.2,2,False,False,False,False,,ENSG00000239435.1,KCNMB3P1,KNOWN,pseudogene,False
ENSG00000198445,False,False,ENSG00000198445.3,CCT8L2,KNOWN,protein_coding,OTTHUMG00000141302.1,2,False,False,False,False,,ENSG00000198445.3,CCT8L2,KNOWN,protein_coding,False
ENSG00000240122,False,False,ENSG00000240122.1,FABP5P11,KNOWN,pseudogene,OTTHUMG00000150095.1,1,False,False,False,False,pseudo_consens,ENSG00000240122.1,FABP5P11,KNOWN,pseudogene,False
ENSG00000221084,False,False,ENSG00000221084.1,AP000547.1,NOVEL,miRNA,,3,False,False,False,False,,ENSG00000221084.1,AP000547.1,NOVEL,miRNA,False
ENSG00000100181,False,False,ENSG00000100181.17,TPTEP1,NOVEL,lincRNA,OTTHUMG00000141300.6,2,False,False,False,False,,ENSG00000100181.17,TPTEP1,NOVEL,lincRNA,False
ENSG00000267338,False,False,ENSG00000267338.1,KB-7G2.9,NOVEL,lincRNA,OTTHUMG00000182183.1,2,False,False,False,False,,ENSG00000267338.1,KB-7G2.9,NOVEL,lincRNA,False
ENSG00000249288,False,False,ENSG00000249288.1,SLC25A15P5,KNOWN,pseudogene,OTTHUMG00000142830.1,2,False,False,False,False,,ENSG00000249288.1,SLC25A15P5,KNOWN,pseudogene,False
ENSG00000249263,False,False,ENSG00000249263.2,PARP4P3,KNOWN,pseudogene,OTTHUMG00000142831.4,2,False,False,False,False,,ENSG00000249263.2,PARP4P3,KNOWN,pseudogene,False
ENSG00000189295,False,False,ENSG00000189295.9,ANKRD62P1-PARP4P3,NOVEL,processed_transcript,OTTHUMG00000186061.1,2,False,False,False,False,,ENSG00000189295.9,ANKRD62P1-PARP4P3,NOVEL,processed_transcript,False
ENSG00000259271,False,False,ENSG00000259271.1,ANKRD62P1,KNOWN,pseudogene,OTTHUMG00000149993.3,2,False,False,False,False,,ENSG00000259271.1,ANKRD62P1,KNOWN,pseudogene,False
ENSG00000273244,False,False,ENSG00000273244.1,KB-7G2.8,NOVEL,lincRNA,OTTHUMG00000172533.1,2,False,False,False,False,,ENSG00000273244.1,KB-7G2.8,NOVEL,lincRNA,False
ENSG00000241717,False,False,ENSG00000241717.1,VWFP1,KNOWN,pseudogene,OTTHUMG00000143725.1,2,False,False,False,False,,ENSG00000241717.1,VWFP1,KNOWN,pseudogene,False
ENSG00000235343,False,False,ENSG00000235343.1,AC005301.8,NOVEL,lincRNA,OTTHUMG00000153504.1,2,False,False,False,False,,ENSG00000235343.1,AC005301.8,NOVEL,lincRNA,False
ENSG00000172967,False,False,ENSG00000172967.7,XKR3,KNOWN,protein_coding,OTTHUMG00000143726.1,2,False,False,False,False,,ENSG00000172967.7,XKR3,KNOWN,protein_coding,False
ENSG00000229027,False,False,ENSG00000229027.3,HSFY1P1,KNOWN,pseudogene,OTTHUMG00000143727.3,2,False,False,False,False,,ENSG00000229027.3,HSFY1P1,KNOWN,pseudogene,False
ENSG00000234121,False,False,ENSG00000234121.1,GPM6BP3,KNOWN,pseudogene,OTTHUMG00000144175.2,2,False,False,False,False,,ENSG00000234121.1,GPM6BP3,KNOWN,pseudogene,False
ENSG00000237835,False,False,ENSG00000237835.1,AC007064.22,KNOWN,pseudogene,OTTHUMG00000144176.1,2,False,False,False,False,,ENSG00000237835.1,AC007064.22,KNOWN,pseudogene,False
ENSG00000220248,False,False,ENSG00000220248.1,ZNF402P,KNOWN,pseudogene,OTTHUMG00000147350.1,1,False,False,False,False,pseudo_consens,ENSG00000220248.1,ZNF402P,KNOWN,pseudogene,False
ENSG00000237689,False,False,ENSG00000237689.1,AC007064.24,NOVEL,lincRNA,OTTHUMG00000147348.1,1,False,False,False,False,,ENSG00000237689.1,AC007064.24,NOVEL,lincRNA,False
ENSG00000228122,False,False,ENSG00000228122.1,MTND1P17,KNOWN,pseudogene,OTTHUMG00000147347.1,2,False,False,False,False,,ENSG00000228122.1,MTND1P17,KNOWN,pseudogene,False
ENSG00000237358,False,False,ENSG00000237358.1,AC007064.25,KNOWN,pseudogene,OTTHUMG00000147345.1,2,False,False,False,False,,ENSG00000237358.1,AC007064.25,KNOWN,pseudogene,False
ENSG00000225480,False,False,ENSG00000225480.1,AC006548.19,KNOWN,pseudogene,OTTHUMG00000147346.1,2,False,False,False,False,,ENSG00000225480.1,AC006548.19,KNOWN,pseudogene,False
ENSG00000230481,False,False,ENSG00000230481.2,IGKV1OR22-5,KNOWN,IG_V_pseudogene,OTTHUMG00000147349.2,1,False,False,False,False,pseudo_consens,ENSG00000230481.2,IGKV1OR22-5,KNOWN,IG_V_pseudogene,False
ENSG00000253691,False,False,ENSG00000253691.2,IGKV2OR22-4,KNOWN,IG_V_pseudogene,OTTHUMG00000149991.2,2,False,False,False,False,,ENSG00000253691.2,IGKV2OR22-4,KNOWN,IG_V_pseudogene,False
ENSG00000253460,False,False,ENSG00000253460.2,IGKV2OR22-3,KNOWN,IG_V_pseudogene,OTTHUMG00000149994.2,2,False,False,False,False,,ENSG00000253460.2,IGKV2OR22-3,KNOWN,IG_V_pseudogene,False
ENSG00000254264,False,False,ENSG00000254264.2,IGKV3OR22-2,KNOWN,IG_V_pseudogene,OTTHUMG00000149995.2,2,False,False,False,False,,ENSG00000254264.2,IGKV3OR22-2,KNOWN,IG_V_pseudogene,False
ENSG00000253481,False,False,ENSG00000253481.2,IGKV1OR22-1,KNOWN,IG_V_pseudogene,OTTHUMG00000149996.2,1,False,False,False,False,pseudo_consens,ENSG00000253481.2,IGKV1OR22-1,KNOWN,IG_V_pseudogene,False
ENSG00000215568,False,False,ENSG00000215568.3,GAB4,KNOWN,protein_coding,OTTHUMG00000149992.3,2,False,False,False,False,,ENSG00000215568.3,GAB4,KNOWN,protein_coding,False
ENSG00000270226,False,False,ENSG00000270226.1,AC006548.26,KNOWN,pseudogene,OTTHUMG00000184893.1,1,False,False,False,False,pseudo_consens,ENSG00000270226.1,AC006548.26,KNOWN,pseudogene,False
ENSG00000237438,False,False,ENSG00000237438.2,CECR7,KNOWN,lincRNA,OTTHUMG00000150027.4,1,False,False,False,False,,ENSG00000237438.2,CECR7,KNOWN,lincRNA,False
ENSG00000273203,False,False,ENSG00000273203.1,AC006946.16,NOVEL,lincRNA,OTTHUMG00000186095.1,2,False,False,False,False,,ENSG00000273203.1,AC006946.16,NOVEL,lincRNA,False
ENSG00000273442,False,False,ENSG00000273442.1,AC006946.17,NOVEL,lincRNA,OTTHUMG00000186096.1,2,False,False,False,False,,ENSG00000273442.1,AC006946.17,NOVEL,lincRNA,False
ENSG00000177663,False,False,ENSG00000177663.9,IL17RA,KNOWN,protein_coding,OTTHUMG00000150026.1,1,False,False,False,False,,ENSG00000177663.9,IL17RA,KNOWN,protein_coding,False
ENSG00000235328,False,False,ENSG00000235328.1,AC006946.12,KNOWN,pseudogene,OTTHUMG00000150025.2,1,False,False,False,False,pseudo_consens,ENSG00000235328.1,AC006946.12,KNOWN,pseudogene,False
ENSG00000183307,False,False,ENSG00000183307.3,CECR6,KNOWN,protein_coding,OTTHUMG00000030471.5,1,False,False,False,False,,ENSG00000183307.3,CECR6,KNOWN,protein_coding,False
ENSG00000235478,False,False,ENSG00000235478.1,AC006946.15,NOVEL,protein_coding,OTTHUMG00000153502.4,1,False,False,False,False,,ENSG00000235478.1,AC006946.15,NOVEL,protein_coding,False
ENSG00000069998,False,False,ENSG00000069998.8,CECR5,KNOWN,protein_coding,OTTHUMG00000150071.2,1,False,False,False,False,,ENSG00000069998.8,CECR5,KNOWN,protein_coding,False
ENSG00000185837,False,False,ENSG00000185837.3,CECR5-AS1,KNOWN,antisense,OTTHUMG00000150096.2,1,False,False,False,False,,ENSG00000185837.3,CECR5-AS1,KNOWN,antisense,False
ENSG00000093072,False,False,ENSG00000093072.11,CECR1,KNOWN,protein_coding,OTTHUMG00000030726.8,1,False,False,False,False,,ENSG00000093072.11,CECR1,KNOWN,protein_coding,False
ENSG00000236325,False,False,ENSG00000236325.1,AC005300.5,KNOWN,pseudogene,OTTHUMG00000150066.1,1,False,False,False,False,pseudo_consens,ENSG00000236325.1,AC005300.5,KNOWN,pseudogene,False
ENSG00000269774,False,False,ENSG00000269774.1,AC005399.1,NOVEL,pseudogene,,3,False,False,False,False,,ENSG00000269774.1,AC005399.1,NOVEL,pseudogene,False
ENSG00000203416,False,False,ENSG00000203416.2,FAM32B,KNOWN,pseudogene,OTTHUMG00000150068.1,1,False,False,False,False,pseudo_consens,ENSG00000203416.2,FAM32B,KNOWN,pseudogene,False
ENSG00000241832,False,False,ENSG00000241832.1,CECR3,KNOWN,processed_transcript,OTTHUMG00000150063.1,2,False,False,False,False,,ENSG00000241832.1,CECR3,KNOWN,processed_transcript,False
ENSG00000231004,False,False,ENSG00000231004.2,CECR9,KNOWN,processed_transcript,OTTHUMG00000150065.1,1,False,False,False,False,,ENSG00000231004.2,CECR9,KNOWN,processed_transcript,False
ENSG00000239547,False,False,ENSG00000239547.2,RN7SL843P,KNOWN,misc_RNA,,3,False,False,False,False,,ENSG00000239547.2,RN7SL843P,KNOWN,misc_RNA,False
ENSG00000099954,False,False,ENSG00000099954.14,CECR2,KNOWN,protein_coding,OTTHUMG00000150072.7,1,False,False,False,False,,ENSG00000099954.14,CECR2,KNOWN,protein_coding,False
ENSG00000229492,False,False,ENSG00000229492.1,AC004019.10,KNOWN,pseudogene,OTTHUMG00000150062.1,1,False,False,False,False,pseudo_consens,ENSG00000229492.1,AC004019.10,KNOWN,pseudogene,False
ENSG00000232305,False,False,ENSG00000232305.1,CLCP1,KNOWN,pseudogene,OTTHUMG00000155638.1,1,False,False,False,False,pseudo_consens,ENSG00000232305.1,CLCP1,KNOWN,pseudogene,False
ENSG00000228045,False,False,ENSG00000228045.1,DNAJA1P6,KNOWN,pseudogene,OTTHUMG00000150091.1,1,False,False,False,False,pseudo_consens,ENSG00000228045.1,DNAJA1P6,KNOWN,pseudogene,False
ENSG00000272675,False,False,ENSG00000272675.1,AC004019.18,NOVEL,lincRNA,OTTHUMG00000185891.1,2,False,False,False,False,,ENSG00000272675.1,AC004019.18,NOVEL,lincRNA,False
ENSG00000182902,False,False,ENSG00000182902.9,SLC25A18,KNOWN,protein_coding,OTTHUMG00000150089.3,2,False,False,False,False,,ENSG00000182902.9,SLC25A18,KNOWN,protein_coding,False
ENSG00000236754,False,False,ENSG00000236754.1,AC004019.13,NOVEL,antisense,OTTHUMG00000150092.1,1,False,False,False,False,,ENSG00000236754.1,AC004019.13,NOVEL,antisense,False
ENSG00000131100,False,False,ENSG00000131100.8,ATP6V1E1,KNOWN,protein_coding,OTTHUMG00000059320.4,2,False,False,False,False,,ENSG00000131100.8,ATP6V1E1,KNOWN,protein_coding,False
ENSG00000099968,False,False,ENSG00000099968.13,BCL2L13,KNOWN,protein_coding,OTTHUMG00000150088.3,1,False,False,False,False,,ENSG00000099968.13,BCL2L13,KNOWN,protein_coding,False
ENSG00000251737,False,False,ENSG00000251737.1,snoU13,NOVEL,snoRNA,,3,False,False,False,False,,ENSG00000251737.1,snoU13,NOVEL,snoRNA,False
ENSG00000015475,False,False,ENSG00000015475.14,BID,KNOWN,protein_coding,OTTHUMG00000150087.4,2,False,False,False,False,ncRNA_host,ENSG00000015475.14,BID,KNOWN,protein_coding,False
ENSG00000264757,False,False,ENSG00000264757.1,MIR3198-1,KNOWN,miRNA,,3,False,False,False,False,,ENSG00000264757.1,MIR3198-1,KNOWN,miRNA,False
ENSG00000269220,False,False,ENSG00000269220.1,LINC00528,KNOWN,lincRNA,OTTHUMG00000186097.1,2,False,False,False,False,,ENSG00000269220.1,LINC00528,KNOWN,lincRNA,False
ENSG00000243156,False,False,ENSG00000243156.3,MICAL3,KNOWN,protein_coding,OTTHUMG00000150067.4,1,False,False,False,False,ncRNA_host,ENSG00000243156.3,MICAL3,KNOWN,protein_coding,False
ENSG00000093100,False,False,ENSG00000093100.13,XXbac-B461K10.4,NOVEL,processed_transcript,OTTHUMG00000150085.1,1,False,False,False,False,,ENSG00000093100.13,XXbac-B461K10.4,NOVEL,processed_transcript,False
ENSG00000207780,False,False,ENSG00000207780.1,MIR648,KNOWN,miRNA,,3,False,False,False,False,,ENSG00000207780.1,MIR648,KNOWN,miRNA,False
ENSG00000235445,False,False,ENSG00000235445.1,XXbac-B476C20.14,NOVEL,sense_intronic,OTTHUMG00000150069.1,2,False,False,False,False,,ENSG00000235445.1,XXbac-B476C20.14,NOVEL,sense_intronic,False
ENSG00000234913,False,False,ENSG00000234913.1,XXbac-B476C20.13,NOVEL,sense_intronic,OTTHUMG00000150064.1,2,False,False,False,False,,ENSG00000234913.1,XXbac-B476C20.13,NOVEL,sense_intronic,False
ENSG00000237446,False,False,ENSG00000237446.1,RHEBP3,KNOWN,pseudogene,OTTHUMG00000150061.1,2,False,False,False,False,,ENSG00000237446.1,RHEBP3,KNOWN,pseudogene,False
ENSG00000235295,False,False,ENSG00000235295.1,XXbac-B476C20.17,NOVEL,lincRNA,OTTHUMG00000153506.1,2,False,False,False,False,,ENSG00000235295.1,XXbac-B476C20.17,NOVEL,lincRNA,False
ENSG00000225335,False,False,ENSG00000225335.2,XXbac-B476C20.9,NOVEL,antisense,OTTHUMG00000149968.2,1,False,False,False,False,,ENSG00000225335.2,XXbac-B476C20.9,NOVEL,antisense,False
ENSG00000215193,False,False,ENSG00000215193.8,PEX26,KNOWN,protein_coding,OTTHUMG00000149970.5,1,False,False,False,False,,ENSG00000215193.8,PEX26,KNOWN,protein_coding,False
ENSG00000236890,False,False,ENSG00000236890.2,XXbac-B476C20.11,KNOWN,pseudogene,OTTHUMG00000150070.2,1,False,False,False,False,pseudo_consens,ENSG00000236890.2,XXbac-B476C20.11,KNOWN,pseudogene,False
ENSG00000235617,False,False,ENSG00000235617.1,XXbac-B476C20.10,KNOWN,pseudogene,OTTHUMG00000150060.1,2,False,False,False,False,,ENSG00000235617.1,XXbac-B476C20.10,KNOWN,pseudogene,False
ENSG00000225225,False,False,ENSG00000225225.1,ARL2BPP10,KNOWN,pseudogene,OTTHUMG00000155640.1,2,False,False,False,False,,ENSG00000225225.1,ARL2BPP10,KNOWN,pseudogene,False
ENSG00000183785,False,False,ENSG00000183785.10,TUBA8,KNOWN,protein_coding,OTTHUMG00000150097.4,1,False,False,False,False,,ENSG00000183785.10,TUBA8,KNOWN,protein_coding,False
ENSG00000184979,False,False,ENSG00000184979.9,USP18,KNOWN,protein_coding,OTTHUMG00000150104.1,2,False,False,False,False,,ENSG00000184979.9,USP18,KNOWN,protein_coding,False
ENSG00000187979,False,False,ENSG00000187979.4,AC008079.9,NOVEL,antisense,OTTHUMG00000150103.2,2,False,False,False,False,,ENSG00000187979.4,AC008079.9,NOVEL,antisense,False
ENSG00000182824,False,False,ENSG00000182824.6,AC008132.1,NOVEL,protein_coding,,3,False,False,False,False,,ENSG00000182824.6,AC008132.1,NOVEL,protein_coding,False
ENSG00000197421,False,False,ENSG00000197421.5,GGT3P,KNOWN,pseudogene,OTTHUMG00000150161.2,2,False,False,False,False,,ENSG00000197421.5,GGT3P,KNOWN,pseudogene,False
ENSG00000239989,False,False,ENSG00000239989.1,AC008132.14,KNOWN,pseudogene,OTTHUMG00000155694.1,2,False,False,False,False,,ENSG00000239989.1,AC008132.14,KNOWN,pseudogene,False
ENSG00000234764,False,False,ENSG00000234764.2,AC008132.12,KNOWN,pseudogene,OTTHUMG00000150178.2,1,False,False,False,False,pseudo_consens,ENSG00000234764.2,AC008132.12,KNOWN,pseudogene,False
ENSG00000161103,False,False,ENSG00000161103.7,AC008132.13,NOVEL,protein_coding,OTTHUMG00000150176.2,2,False,False,False,False,,ENSG00000161103.7,AC008132.13,NOVEL,protein_coding,False
ENSG00000215544,False,False,ENSG00000215544.6,BCRP7,KNOWN,pseudogene,OTTHUMG00000030708.4,2,False,False,False,False,,ENSG00000215544.6,BCRP7,KNOWN,pseudogene,False
ENSG00000183628,False,False,ENSG00000183628.8,DGCR6,KNOWN,protein_coding,OTTHUMG00000150162.4,2,False,False,False,False,,ENSG00000183628.8,DGCR6,KNOWN,protein_coding,False
ENSG00000100033,False,False,ENSG00000100033.12,PRODH,KNOWN,protein_coding,OTTHUMG00000150163.4,2,False,False,False,False,,ENSG00000100033.12,PRODH,KNOWN,protein_coding,False
ENSG00000237517,False,False,ENSG00000237517.4,DGCR5,KNOWN,antisense,OTTHUMG00000149977.4,1,False,False,False,False,,ENSG00000237517.4,DGCR5,KNOWN,antisense,False
ENSG00000271275,False,False,ENSG00000271275.1,AC007326.9,KNOWN,pseudogene,OTTHUMG00000184895.1,1,False,False,False,False,pseudo_consens,ENSG00000271275.1,AC007326.9,KNOWN,pseudogene,False
ENSG00000273032,False,False,ENSG00000273032.1,DGCR9,NOVEL,lincRNA,OTTHUMG00000186098.1,2,False,False,False,False,,ENSG00000273032.1,DGCR9,NOVEL,lincRNA,False
ENSG00000270393,False,False,ENSG00000270393.1,AC000095.9,KNOWN,pseudogene,OTTHUMG00000184897.1,1,False,False,False,False,pseudo_consens,ENSG00000270393.1,AC000095.9,KNOWN,pseudogene,False
ENSG00000273164,False,False,ENSG00000273164.1,DGCR10,NOVEL,sense_intronic,OTTHUMG00000186099.1,2,False,False,False,False,,ENSG00000273164.1,DGCR10,NOVEL,sense_intronic,False
ENSG00000241527,False,False,ENSG00000241527.1,CA15P1,KNOWN,pseudogene,OTTHUMG00000157581.1,2,False,False,False,False,,ENSG00000241527.1,CA15P1,KNOWN,pseudogene,False
ENSG00000070413,False,False,ENSG00000070413.14,DGCR2,KNOWN,protein_coding,OTTHUMG00000150141.2,2,False,False,False,False,,ENSG00000070413.14,DGCR2,KNOWN,protein_coding,False
ENSG00000206739,False,False,ENSG00000206739.1,Y_RNA,NOVEL,misc_RNA,,3,False,False,False,False,,ENSG00000206739.1,Y_RNA,NOVEL,misc_RNA,False
ENSG00000273311,False,False,ENSG00000273311.1,DGCR11,KNOWN,sense_intronic,OTTHUMG00000186100.1,2,False,False,False,False,,ENSG00000273311.1,DGCR11,KNOWN,sense_intronic,False
ENSG00000237347,False,False,ENSG00000237347.2,AC004461.4,KNOWN,pseudogene,OTTHUMG00000150140.2,1,False,False,False,False,pseudo_consens,ENSG00000237347.2,AC004461.4,KNOWN,pseudogene,False
